title	json_key	type	chapter	description
DOI search	doiSearch	question	Reusing and collecting data	Search by dataset name, author or DOI (in the format 10.1000/xyz123, without the prefix) to see a list of suggestions from the DataCite registry. NB! Only applicable to datasets with a DOI, issued/indexed by DataCite. Return to manual entry if you cannot find the dataset.
DOI search	doiSearch2	question	Archiving and publishing data	Search by dataset name, author or DOI (in the format 10.1000/xyz123, without the prefix) to see a list of suggestions from the DataCite registry. NB! Only applicable to datasets with a DOI, issued/indexed by DataCite. Return to manual entry if you cannot find the dataset.
DPIA	dpia	question	Legal and ethical aspects	
Have Data Protection Impact Assessments (DPIA) been performed for the personal data?	dpiaDone	question	Legal and ethical aspects	The French Data Protection Authority (DPA) has made a PIA tool (endorsed by several other DPAs) available that can help in performing these impact assessments. Please also consult your Data Protection Officer of your organization.
List DPIAs done and for which parts of the data.	dpias	question	Legal and ethical aspects	
E-mail address	email	question	About the Data Management Plan	
E-mail address	emailAddress	question	About the Data Management Plan	
Are all data carriers encrypted?	encrypted	question	Storing and protecting data during the project	
Ending date of the project	endDate	question	About the research project	
At the end of the project, what will happen with data in this storage solution?	endHappenStorage	question	Storing and protecting data during the project	
How will you ensure that key information will be digitalised?	ensureKeyInformation	question	Reusing and collecting data	
Enter project abstract or other project description	enterAbstractDescription	question	About the research project	
Enter project abstract or other description of the project	enterAbstractDescription2	question	About the research project	Enter project abstract or other description of the project.
Enter persistent identifier (PID) of the dataset	enterPersistentIdentifier	question	Archiving and publishing data	
Enter PID	enterPid	question	Archiving and publishing data	
Select exemption	exemption	question	Legal and ethical aspects	
Exemption	exemption_1	question	Legal and ethical aspects	
